Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),w,x,y,z,Direct (°),Yaw (°),Pitch (°),Roll (°),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
47.83346739,20.94063833,73.89924,10480.45651,235.7021179,221.1399994,2.599999905,20.29999924,,,,,,,,,,,,,,,,,
48.82838739,20.93904167,73.89774833,10480.36041,236.2080841,221.2899933,2.599999905,20.70000076,,,,,,,,,,,,,,,,,
49.8328267,20.93744333,73.896255,10480.36432,235.8539581,221.1499939,2.599999905,21.20000076,,,,,,,,,,,,,,,,,
50.83232177,20.935845,73.89476333,10480.26822,235.8575592,221.1999969,2.599999905,21.0,,,,,,,,,,,,,,,,,
51.83017016,20.93424167,73.893275,10479.77215,235.8549805,221.1499939,2.599999905,21.60000038,,,,,,,,,,,,,,,,,
52.83159008,20.93264333,73.89178167,10479.17605,236.0299988,221.2700043,2.599999905,19.5,,,,,,,,,,,,,,,,,
53.83228547,20.93104667,73.89029333,10477.87995,235.4416656,221.2700043,2.5,19.0,,,,,,,,,,,,,,,,,
54.82882123,20.92944833,73.8888,10478.38384,236.0835266,221.2200012,2.599999905,19.20000076,,,,,,,,,,,,,,,,,
55.82992516,20.92784667,73.88730667,10478.18775,236.0526428,221.2200012,2.599999905,20.0,,,,,,,,,,,,,,,,,
56.83062639,20.92625,73.88581167,10477.49164,235.5317383,221.3399963,2.700000048,20.70000076,,,,,,,,,,,,,,,,,
57.83010677,20.924655,73.88431833,10476.99552,235.6732941,221.3099976,2.700000048,20.70000076,,,,,,,,,,,,,,,,,
58.83022608,20.92305333,73.882825,10477.09942,236.3362579,221.1300049,2.799999952,21.79999924,,,,,,,,,,,,,,,,,
59.83483377,20.92145,73.88134,10476.80333,235.8560181,221.2700043,2.700000048,21.79999924,,,,,,,,,,,,,,,,,
60.82836031,20.92145,73.88134,10476.80333,0.0,221.2700043,2.799999952,20.89999962,,,,,,,,,,,,,,,,,
61.830051,20.91824833,73.87835167,10481.11112,236.2158051,221.2599945,2.799999952,20.89999962,,,,,,,,,,,,,,,,,
62.83133354,20.91664667,73.876865,10481.41502,235.8096924,221.1999969,2.700000048,20.70000076,,,,,,,,,,,,,,,,,
63.83033685,20.91504667,73.87537333,10481.01891,236.5236053,221.3300018,2.700000048,21.10000038,,,,,,,,,,,,,,,,,
64.83184124,20.91344667,73.87387333,10482.32278,235.9538116,221.1799927,2.700000048,20.70000076,,,,,,,,,,,,,,,,,
65.83166977,20.911845,73.87239,10481.42668,235.8601379,221.1999969,2.700000048,20.70000076,,,,,,,,,,,,,,,,,
66.82880954,20.91024167,73.87089833,10482.23058,236.1133728,221.2200012,2.599999905,21.20000076,,,,,,,,,,,,,,,,,
